iter	MultiRMSE
0	0.6900687962
1	0.6812559822
2	0.673283855
3	0.6646101414
4	0.6566525338
5	0.6487209914
6	0.6422801768
7	0.6353767154
8	0.6287292647
9	0.6217018218
10	0.6159477113
11	0.6106237342
12	0.6047009407
13	0.5998204734
14	0.5944731283
15	0.5899813752
16	0.5851781769
17	0.5816944444
18	0.5770167457
19	0.5732090612
20	0.5693788617
21	0.5662212093
22	0.5629625698
23	0.5600207749
24	0.5570022187
25	0.5540834735
26	0.5511142829
27	0.5474340809
28	0.5444311243
29	0.5415380619
30	0.5390296287
31	0.5362081728
32	0.5334282686
33	0.5314684914
34	0.5286023175
35	0.5260575924
36	0.523608751
37	0.5212614208
38	0.5192187651
39	0.5167780124
40	0.5144357955
41	0.5132187593
42	0.5110631454
43	0.5090196191
44	0.5067761939
45	0.5051817502
46	0.503710407
47	0.5015390053
48	0.4998381807
49	0.498348014
50	0.4962708636
51	0.4943081545
52	0.4924679574
53	0.4912618712
54	0.4893445032
55	0.4877479825
56	0.4863171588
57	0.4848616866
58	0.4834073369
59	0.4826209683
60	0.4810205421
61	0.4798124926
62	0.4786739549
63	0.4778009642
64	0.4767614022
65	0.4755391428
66	0.4745652774
67	0.4736681839
68	0.4728023561
69	0.4715190524
70	0.4704638982
71	0.4692824649
72	0.4686371521
73	0.4677162905
74	0.4665911427
75	0.4651476437
76	0.4639264446
77	0.4627532508
78	0.4616961118
79	0.4600950174
80	0.4589315292
81	0.4581025112
82	0.457339547
83	0.456565626
84	0.4550760727
85	0.4542732397
86	0.4529463123
87	0.4517512142
88	0.4509503321
89	0.4499177188
90	0.4492375835
91	0.4480430524
92	0.4473451645
93	0.4464114658
94	0.4452532458
95	0.4444708601
96	0.4426151408
97	0.4411630882
98	0.4399465251
99	0.4384974154
100	0.4372935857
101	0.4362437141
102	0.4350404888
103	0.4343501994
104	0.4332183525
105	0.4323897646
106	0.4314495906
107	0.4306080732
108	0.4297074877
109	0.4291048631
110	0.4277173001
111	0.4265360054
112	0.4257546449
113	0.4250489985
114	0.4241419847
115	0.423560325
116	0.4227141387
117	0.4219223692
118	0.4213434703
119	0.4205617017
120	0.4195999372
121	0.4182485831
122	0.4179126934
123	0.4159595644
124	0.4148466412
125	0.4140891484
126	0.4130972211
127	0.4114894256
128	0.4109251823
129	0.4096207625
130	0.4088251664
131	0.4074129671
132	0.4067435318
133	0.4058174755
134	0.4052115524
135	0.4045713632
136	0.4034119427
137	0.4024684347
138	0.4014823146
139	0.4004773548
140	0.3994489878
141	0.3986365106
142	0.397709711
143	0.396627689
144	0.3960303817
145	0.395560392
146	0.3945852939
147	0.3938892854
148	0.3930295571
149	0.3919221475
150	0.3907327529
151	0.3891646115
152	0.3881004734
153	0.3870992235
154	0.3861634595
155	0.3853166348
